µô·¯,µô·¯ÄÚµå
USE_ARAB,A
USE_ARAB_EMIRATE,a
USE_BELARUS,r
USE_BELARUS_EVROOPT,q
USE_CHINA_ALIBABA,l
USE_CHINA_BAONENG,X
USE_CHINA_BAONENG_COUNTRYGARDEN,w
USE_CHINA_CARRFOUR,f
USE_CHINA_HUARENWANGJI,o
USE_CHINESE_FONT_BIG5,C
USE_CHINESE_FONT_GB2312,B
USE_CHINESE_STNADARTMARKET,c
USE_CHN_TRACE_STANDARD,F
USE_DISCLOSURE_MEAT_PRICE,g
USE_EMART,E
USE_EMART_CL5200,m
USE_GBR_HMART,P
USE_GSMART,G
USE_GSMART_TRACE,M
USE_HEBREW,h
USE_HYUNDAI,H
USE_IMPORT_MEAT,I
USE_IMPORT_MEAT_8LINE,I8
USE_IMPORT_MEAT_CART,s
USE_INDIA_DADUS,DM
USE_INDONESIA_EMPORIUM,e
USE_KOREA_CL5200,k
USE_LOTTEMART,J
USE_LOTTESUPER,U
USE_LOTTESUPER_8LINE,W
USE_MANAGE_INVENTORY,i
USE_MANAGE_INVENTORY_CART,y
USE_MON_EMART,g
USE_NHMART,N
USE_NHMART_SAFE,n
USE_NINGBO_STANDARDMARKET,b
USE_PERSIA,p
USE_POLAND_LOGISTICS,PL
USE_POLAND_STOKROTKA_MART,SK
USE_RSA_SPAR_MART,SR
USE_RUSSIA,R
USE_RUSSIA_INDIRECT,Q
USE_RUSSIA_LOGISTICS,l
USE_RUSSIA_RTT_TARE,RT
USE_RUSSIA_SPAR,SP
USE_SAUDI,PT
USE_SCALE_POS,T
USE_SHINSEGAE_MEAT,S
USE_SRILANKA_ZERO,K
USE_STANDARD_DIRECT_INGREDIENT,D
USE_TOPMART,Y
USE_TURKEY_QR_BARCODE,t
USE_UKRAINE,Z
USE_UN_KOR_MART,kr
USE_UN_LOGISTICS,LG
USE_VIETNAM,V
USE_VIETNAM_EMART,v
